epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.835,1.9728,4.79708,2.19771,0.01017,0.87378,0.03343,0.01426,1.31258,4.62468,1.90869,8.12454e-05,8.12454e-05,8.12454e-05
2,810.426,1.45355,3.66269,1.68162,0.14554,0.32903,0.09637,0.0606,1.24776,3.39322,1.83799,0.00015936,0.00015936,0.00015936
3,1214.55,1.36149,3.10935,1.58863,0.24933,0.51113,0.29878,0.18714,1.27514,2.58917,1.80771,0.000234253,0.000234253,0.000234253
4,1618.37,1.31098,2.7758,1.5438,0.37725,0.67795,0.51616,0.34521,1.20105,2.02567,1.7101,0.000229506,0.000229506,0.000229506
5,2022.2,1.25697,2.50483,1.5002,0.53913,0.70507,0.6686,0.47357,1.07023,1.69274,1.57836,0.000224675,0.000224675,0.000224675
6,2425.88,1.22532,2.2927,1.46958,0.65313,0.80259,0.81437,0.57792,1.04824,1.38917,1.57211,0.000219844,0.000219844,0.000219844
7,2829.54,1.17808,2.10181,1.43735,0.81581,0.88052,0.92911,0.68946,0.97466,1.06156,1.49532,0.000215013,0.000215013,0.000215013
8,3233.21,1.14768,1.92337,1.41787,0.89769,0.91479,0.96502,0.72145,0.96272,0.92232,1.47908,0.000210182,0.000210182,0.000210182
9,3636.7,1.11361,1.80055,1.39293,0.95283,0.9503,0.98247,0.75817,0.86082,0.76783,1.39563,0.00020535,0.00020535,0.00020535
10,4040.13,1.08789,1.68457,1.37709,0.97179,0.9652,0.99027,0.76386,0.86646,0.70015,1.39037,0.000200519,0.000200519,0.000200519
11,4443.48,1.05888,1.60957,1.35143,0.9696,0.97849,0.99173,0.78065,0.82844,0.63012,1.34765,0.000195688,0.000195688,0.000195688
12,4846.85,1.04242,1.53967,1.34458,0.98601,0.98655,0.99398,0.79754,0.77885,0.57684,1.31013,0.000190857,0.000190857,0.000190857
13,5250.19,1.01516,1.48249,1.32329,0.98268,0.98905,0.99364,0.81598,0.71993,0.54477,1.24483,0.000186026,0.000186026,0.000186026
14,5653.5,1.00386,1.44034,1.32028,0.98929,0.99312,0.99476,0.81466,0.73079,0.50364,1.26013,0.000181194,0.000181194,0.000181194
15,6056.69,0.98076,1.4168,1.30384,0.98978,0.98649,0.99451,0.81101,0.73109,0.48939,1.25439,0.000176363,0.000176363,0.000176363
16,6459.85,0.95718,1.37498,1.28724,0.99036,0.99069,0.99482,0.82721,0.68802,0.47958,1.21253,0.000171532,0.000171532,0.000171532
17,6863.01,0.93781,1.33448,1.28408,0.99597,0.99652,0.99479,0.838,0.65573,0.45254,1.18938,0.000166701,0.000166701,0.000166701
18,7266.24,0.93092,1.31376,1.26932,0.99336,0.99618,0.99479,0.84644,0.61044,0.42934,1.15227,0.00016187,0.00016187,0.00016187
19,7669.4,0.92924,1.30494,1.27334,0.99314,0.99746,0.99488,0.85713,0.59657,0.41515,1.14,0.000157038,0.000157038,0.000157038
20,8072.62,0.90788,1.28401,1.2596,0.99389,0.99826,0.99467,0.85291,0.6009,0.40275,1.13943,0.000152207,0.000152207,0.000152207
21,8475.73,0.88527,1.24102,1.24375,0.99665,0.99796,0.99483,0.86762,0.5614,0.38282,1.10237,0.000147376,0.000147376,0.000147376
22,8882,0.88377,1.24103,1.24434,0.99701,0.99854,0.99479,0.8685,0.55832,0.38319,1.09995,0.000142545,0.000142545,0.000142545
23,9284.78,0.86332,1.21984,1.22764,0.9943,0.99843,0.99458,0.87606,0.53185,0.37206,1.07576,0.000137714,0.000137714,0.000137714
24,9687.65,0.85845,1.20304,1.22872,0.99501,0.99926,0.9942,0.87923,0.51488,0.35957,1.06334,0.000132882,0.000132882,0.000132882
25,10090.4,0.85069,1.1813,1.22085,0.99692,0.99961,0.99495,0.87615,0.52572,0.35284,1.06717,0.000128051,0.000128051,0.000128051
26,10493.5,0.8384,1.16946,1.21394,0.99524,0.99896,0.99489,0.88576,0.49986,0.34223,1.04696,0.00012322,0.00012322,0.00012322
27,10896.6,0.82543,1.14865,1.20569,0.99627,0.99916,0.99494,0.8838,0.50346,0.34042,1.0461,0.000118389,0.000118389,0.000118389
28,11299.9,0.82137,1.14077,1.20242,0.99775,0.99902,0.99497,0.89185,0.48543,0.33213,1.02921,0.000113558,0.000113558,0.000113558
29,11702.9,0.81076,1.14092,1.19693,0.99759,0.99945,0.99497,0.89102,0.48135,0.32717,1.02822,0.000108726,0.000108726,0.000108726
30,12106.2,0.80034,1.12168,1.18939,0.99695,0.99947,0.99477,0.90108,0.45401,0.31678,1.00583,0.000103895,0.000103895,0.000103895
31,12509.3,0.79529,1.12086,1.18648,0.99696,0.99958,0.99499,0.89753,0.46218,0.3162,1.00835,9.9064e-05,9.9064e-05,9.9064e-05
